DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,9,1364.0,1358,1471.0,,,,1397.67,1358,1471
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,3,1247.0,1113,1221.0,,,,1193.67,1113,1247
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,7,1067.0,1122,843.0,,,,1010.67,843,1122
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,6,1169.0,1018,1181.0,,,,1122.67,1018,1181
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,5,733.0,1055,1380.0,,,,1056.0,733,1380
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,4,1476.0,1007,1479.0,,,,1320.67,1007,1479
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,1,1177.0,574,1305.0,,,,1018.67,574,1305
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,12,1453.0,1482,1479.0,,,,1471.33,1453,1482
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,6,1462.0,1417,1369.0,,,,1416.0,1369,1462
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,2,1430.0,1496,1452.0,,,,1459.33,1430,1496
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,3,1466.0,1466,1466.0,,,,1466.0,1466,1466
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,4,1494.0,1494,1423.0,,,,1470.33,1423,1494
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,5,1487.0,1347,1461.0,,,,1431.67,1347,1487
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,7,989.0,1471,1471.0,,,,1310.33,989,1471
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,8,1468.0,1496,1478.0,,,,1480.67,1468,1496
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,9,1478.0,1480,1378.0,,,,1445.33,1378,1480
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,10,1378.0,1489,1314.0,,,,1393.67,1314,1489
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,11,1472.0,1394,1395.0,,,,1420.33,1394,1472
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,12,744.0,817,1047.0,,,,869.33,744,1047
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,2,1244.0,1149,1304.0,,,,1232.33,1149,1304
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,1,451.0,1362,1460.0,,,,1091.0,451,1460
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,11,1307.0,1283,652.0,,,,1080.67,652,1307
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,10,1476.0,640,1449.0,,,,1188.33,640,1476
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,1,1052.0,938,1195.0,,,,1061.67,938,1195
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,2,543.0,501,535.0,,,,526.33,501,543
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,3,639.0,1399,1183.0,,,,1073.67,639,1399
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,4,1297.0,1194,1322.0,,,,1271.0,1194,1322
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,5,525.0,525,1288.0,,,,779.33,525,1288
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,6,1459.0,1312,762.0,,,,1177.67,762,1459
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,7,1042.0,1422,1374.0,,,,1279.33,1042,1422
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,8,669.0,535,662.0,,,,622.0,535,669
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,9,752.0,1485,678.0,,,,971.67,678,1485
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,10,1322.0,1115,940.0,,,,1125.67,940,1322
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,11,1055.0,13994,1116.0,,,,5388.33,1055,13994
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,12,454.0,1476,1398.0,,,,1109.33,454,1476
